Collection,Registration number,Date,CBL,Latitude,Longitude,Island type,WinterMinTemp,AnnualMinTemp,SummerWetBulbTemp,AnnualWetBulbTemp,SummerMaxTemp,AnnualMaxTemp,AnnualRain,P–PET,aaET,NDVI,CenW,GrowSeasRain,GrowSeasaaET,GrowSeasP–PET,GrowSeasNDVI,CVSeasRain,CVSeasaaET,CVSeasP–PET,CVSeasMaxTemp,CVSeasMinTemp,MinSeasRain,MinSeasaaET,MinSeasP–PET,MinSeasNDVI,Soil nutrient availability,Clay content percentage (0 – 30 cm),Soil bulk density (0 – 30 cm)
Museums and Art Galleries of the Northern Territory,U 7906,15/7/1929,77.05,-23.5,150.65,Australian mainland,11.64856434,17.53958511,22.92497826,19.18129158,31.68987846,27.99886513,887.243103,-829.4152832,725.75,3.893127918,734.875,887.243103,725.75,-826.7385254,0.324427336,0.637845855,0.324051326,0.346001614,0.124535994,0.252214858,110.0740662,106.125,-354.0909424,0.829854012,1.350000024,43.21073151,1.47314465
Museums and Art Galleries of the Northern Territory,U 7908,16/7/1929,74.56,-23.5,150.65,Australian mainland,11.64856434,17.53958511,22.92497826,19.18129158,31.68987846,27.99886513,887.243103,-829.4152832,725.75,3.893127918,734.875,887.243103,725.75,-826.7385254,0.324427336,0.637845855,0.324051326,0.346001614,0.124535994,0.252214858,110.0740662,106.125,-354.0909424,0.829854012,1.350000024,43.21073151,1.47314465
South Australian Museum,M2 739,1/7/1929,73.5,-23.5,150.65,Australian mainland,11.64856434,17.53958511,22.92497826,19.18129158,31.68987846,27.99886513,887.243103,-829.4152832,725.75,3.893127918,734.875,887.243103,725.75,-826.7385254,0.324427336,0.637845855,0.324051326,0.346001614,0.124535994,0.252214858,110.0740662,106.125,-354.0909424,0.829854012,1.350000024,43.21073151,1.47314465
South Australian Museum,M2 756,30/9/1929,75.57,-34.95,138.6,Australian mainland,7.61157465,11.46633053,15.9979744,12.85913277,27.43407059,21.33578873,532.4013062,-776.6677856,537.234375,3.433306932,496.8186035,205.2061615,367.203125,-827.3516846,0.29847014,0.438688788,0.340559786,1.386102191,0.236065911,0.280525727,66.59539032,91.71875,-463.4642334,0.811304986,1.370000005,29.79087639,1.62104404
Museums and Art Galleries of the Northern Territory,U 7912,15/11/1929,75.24,-34.4,139.6,Australian mainland,5.141836643,9.504308701,16.74372101,13.3744173,30.64636803,23.65536308,255.1013336,-1210.841553,281.1875,2.769262314,33.05783463,128.1167603,137.75,-1020.853394,0.198328242,0.193808641,0.204342135,0.746023027,0.244201199,0.384197332,51.9674263,51.25,-529.0916138,0.480423361,1,24.67410088,1.387869954
Museums and Art Galleries of the Northern Territory,U 7921,15/2/1930,91.92,-39.85,147.9,small island,6.99590826,9.749027252,15.16795921,12.3722086,19.73716927,16.05150604,772.5232544,-44.04520035,669.359375,5.503504753,930.2280273,204.6749115,327.9375,-212.4202271,0.454046756,0.201621664,0.540291078,15.85640534,0.19471565,0.249987261,143.684845,71.953125,-191.9414825,1.338202596,2.089999914,16.08937454,1.327307224
South Australian Museum,M2 909,1/7/1930,79.76,-34.95,138.6,Australian mainland,7.61157465,11.46633053,15.9979744,12.85913277,27.43407059,21.33578873,532.4013062,-776.6677856,537.234375,3.433306932,496.8186035,205.2061615,367.203125,-827.3516846,0.29847014,0.438688788,0.340559786,1.386102191,0.236065911,0.280525727,66.59539032,91.71875,-463.4642334,0.811304986,1.370000005,29.79087639,1.62104404
South Australian Museum,M3 098,11/5/1931,65.37,-21.2,126,Australian mainland,11.08284378,18.75829887,22.09628868,17.67642403,38.80059052,33.80684662,288.5258179,-2232.315674,313,2.221123457,0,288.5258179,313,-2230.832764,0.185093611,0.980398662,0.99625776,0.057898447,0.155341042,0.302443395,19.14458084,22,-746.5053101,0.487173349,3,11,1.450000048
Australian Museum,M 5310,27/9/1932,78.43,-34.6,146.4,Australian mainland,3.830775499,9.871070862,17.67168808,13.29798031,31.43098259,23.28642845,415.4216003,-1010.68634,430.3125,4.682604313,260.3512878,225.6387482,260.1875,-915.095459,0.361635953,0.119846131,0.166539353,0.984613143,0.288121851,0.51634377,90.78853607,91.75,-511.191803,1.031775355,1.700000048,34.34375,1.553281188
Australian Museum,M 5313,1/10/1932,75.54,-34.6,146.4,Australian mainland,3.830775499,9.871070862,17.67168808,13.29798031,31.43098259,23.28642845,415.4216003,-1010.68634,430.3125,4.682604313,260.3512878,225.6387482,260.1875,-915.095459,0.361635953,0.119846131,0.166539353,0.984613143,0.288121851,0.51634377,90.78853607,91.75,-511.191803,1.031775355,1.700000048,34.34375,1.553281188
South Australian Museum,M3 478,15/11/1932,75.41,-34.95,138.65,Australian mainland,7.459550858,11.2188549,15.80116653,12.62903595,27.31329536,21.08776855,634.5994873,-674.3756714,573.5625,4.687150478,496.8186035,238.8482513,405.5,-793.7525635,0.396928191,0.458880817,0.391989262,1.70148869,0.243437033,0.280488666,74.22153473,93,-455.8388672,1.122132659,1.070000052,27.09354973,1.537415266
Museum Victoria,D T 212,7/12/1932,75.55,-13.6,142.15,Australian mainland,17.62479973,20.89847374,25.36885452,23.19031715,32.68644714,32.16319275,1400.327271,-460.2920227,964.75,4.486106396,577.1890259,1400.327271,964.75,-458.8800049,0.37384218,1.192705173,0.193078441,4.03883911,0.04947587,0.117062633,5.217381001,178.375,-457.3807373,0.994971991,2.700000048,26.90849876,1.534983516
Museum Victoria,D T 213,7/12/1932,72.69,-13.6,142.15,Australian mainland,17.62479973,20.89847374,25.36885452,23.19031715,32.68644714,32.16319275,1400.327271,-460.2920227,964.75,4.486106396,577.1890259,1400.327271,964.75,-458.8800049,0.37384218,1.192705173,0.193078441,4.03883911,0.04947587,0.117062633,5.217381001,178.375,-457.3807373,0.994971991,2.700000048,26.90849876,1.534983516
Museum Victoria,D T 214,7/12/1932,78.63,-13.6,142.15,Australian mainland,17.62479973,20.89847374,25.36885452,23.19031715,32.68644714,32.16319275,1400.327271,-460.2920227,964.75,4.486106396,577.1890259,1400.327271,964.75,-458.8800049,0.37384218,1.192705173,0.193078441,4.03883911,0.04947587,0.117062633,5.217381001,178.375,-457.3807373,0.994971991,2.700000048,26.90849876,1.534983516
Museums and Art Galleries of the Northern Territory,U 7905,15/1/1933,74.83,-26.4,131.7,Australian mainland,4.229680061,11.96409798,17.53569984,13.18108368,34.68184662,27.3498764,233.032074,-1144.245239,299.625,2.409430981,0,175.1945648,236.25,-1046.491577,0.204555377,0.304211643,0.328221834,0.792707229,0.236049016,0.513096053,41.91555023,43.9375,-514.0813599,0.53178668,1.299999952,10.05982494,1.439401746
Museums and Art Galleries of the Northern Territory,U 7911,15/1/1933,75.04,-26.25,131.5,Australian mainland,3.892659903,11.60048199,17.19728088,12.78076553,34.33649063,26.86628914,243.3820648,-1152.063599,312.546875,2.121037722,0,182.9523926,248.109375,-1049.667603,0.184663594,0.290976824,0.341999159,0.780215391,0.244506532,0.526737619,43.68578339,44.140625,-513.0030518,0.477064341,1.25,6,1.480000019
South Australian Museum,M3 622,15/1/1933,74.36,-26,132,Australian mainland,4.342292786,12.3196373,17.94734573,13.53706551,35.04480362,27.74528503,229.3973541,-1393.738403,283.75,2.453533649,0,174.5710297,225.25,-1201.028809,0.216198042,0.350137375,0.349019543,0.590351414,0.2328148,0.512882396,39.01019669,39.9375,-546.0084839,0.522293329,2.5,19.04725075,1.379413247
South Australian Museum,M3 624,15/1/1933,71.83,-26,132,Australian mainland,4.342292786,12.3196373,17.94734573,13.53706551,35.04480362,27.74528503,229.3973541,-1393.738403,283.75,2.453533649,0,174.5710297,225.25,-1201.028809,0.216198042,0.350137375,0.349019543,0.590351414,0.2328148,0.512882396,39.01019669,39.9375,-546.0084839,0.522293329,2.5,19.04725075,1.379413247
South Australian Museum,M3 625,15/1/1933,73.01,-26,132,Australian mainland,4.342292786,12.3196373,17.94734573,13.53706551,35.04480362,27.74528503,229.3973541,-1393.738403,283.75,2.453533649,0,174.5710297,225.25,-1201.028809,0.216198042,0.350137375,0.349019543,0.590351414,0.2328148,0.512882396,39.01019669,39.9375,-546.0084839,0.522293329,2.5,19.04725075,1.379413247
South Australian Museum,M3 627,15/1/1933,73.59,-26.4,131.7,Australian mainland,4.229680061,11.96409798,17.53569984,13.18108368,34.68184662,27.3498764,233.032074,-1144.245239,299.625,2.409430981,0,175.1945648,236.25,-1046.491577,0.204555377,0.304211643,0.328221834,0.792707229,0.236049016,0.513096053,41.91555023,43.9375,-514.0813599,0.53178668,1.299999952,10.05982494,1.439401746
South Australian Museum,M3 628,15/1/1933,69.86,-26.4,131.7,Australian mainland,4.229680061,11.96409798,17.53569984,13.18108368,34.68184662,27.3498764,233.032074,-1144.245239,299.625,2.409430981,0,175.1945648,236.25,-1046.491577,0.204555377,0.304211643,0.328221834,0.792707229,0.236049016,0.513096053,41.91555023,43.9375,-514.0813599,0.53178668,1.299999952,10.05982494,1.439401746
South Australian Museum,M3 629,15/1/1933,69.02,-26.4,131.7,Australian mainland,4.229680061,11.96409798,17.53569984,13.18108368,34.68184662,27.3498764,233.032074,-1144.245239,299.625,2.409430981,0,175.1945648,236.25,-1046.491577,0.204555377,0.304211643,0.328221834,0.792707229,0.236049016,0.513096053,41.91555023,43.9375,-514.0813599,0.53178668,1.299999952,10.05982494,1.439401746
South Australian Museum,M3 630,15/1/1933,71.81,-26.65,132.5,Australian mainland,4.407333374,12.10412025,17.66003036,13.40717697,34.52959824,27.12730789,225.5459595,-1467.247192,259.6875,2.431517601,0,171.191452,203.1875,-1250.037842,0.215004042,0.349871797,0.301281477,0.553247201,0.239284621,0.505692369,39.47431564,40.171875,-559.0527344,0.506510317,2,17.30922508,1.384006262
South Australian Museum,M3 632,15/2/1933,67.51,-26.65,132.5,Australian mainland,4.407333374,12.10412025,17.66003036,13.40717697,34.52959824,27.12730789,225.5459595,-1467.247192,259.6875,2.431517601,0,171.191452,203.1875,-1250.037842,0.215004042,0.349871797,0.301281477,0.553247201,0.239284621,0.505692369,39.47431564,40.171875,-559.0527344,0.506510317,2,17.30922508,1.384006262
South Australian Museum,M3 723,15/5/1933,87.9,-37.1,140.85,Australian mainland,5.001826286,7.895790577,15.41959381,12.42749977,27.14938164,20.45570946,591.2965698,-465.4347534,539.375,6.068064213,729.9825439,146.1789398,270.5,-519.4015503,0.439819127,0.405402051,0.363476845,2.031194819,0.260998905,0.317205667,79.88356018,87.125,-358.6948547,1.221130371,2.279999971,17.34029961,1.478602052
South Australian Museum,M4 859,15/12/1934,82.82,-36,136.85,small island,9.385625839,11.63822746,15.5202713,13.17754936,22.54512596,18.69159698,641.6593628,-548.838562,546,5.596655369,1020.487488,158.2391968,284.5,-605.9370117,0.448932439,0.638204776,0.216840329,1.832968878,0.170562106,0.178253547,58.20243835,106.75,-374.6222534,1.305185676,1,12.24160862,1.405909896
South Australian Museum,M4 860,15/12/1934,85.14,-36,136.85,small island,9.385625839,11.63822746,15.5202713,13.17754936,22.54512596,18.69159698,641.6593628,-548.838562,546,5.596655369,1020.487488,158.2391968,284.5,-605.9370117,0.448932439,0.638204776,0.216840329,1.832968878,0.170562106,0.178253547,58.20243835,106.75,-374.6222534,1.305185676,1,12.24160862,1.405909896
South Australian Museum,M4 861,15/12/1934,84.54,-36,136.85,small island,9.385625839,11.63822746,15.5202713,13.17754936,22.54512596,18.69159698,641.6593628,-548.838562,546,5.596655369,1020.487488,158.2391968,284.5,-605.9370117,0.448932439,0.638204776,0.216840329,1.832968878,0.170562106,0.178253547,58.20243835,106.75,-374.6222534,1.305185676,1,12.24160862,1.405909896
South Australian Museum,M4 862,15/12/1934,80.28,-36,136.85,small island,9.385625839,11.63822746,15.5202713,13.17754936,22.54512596,18.69159698,641.6593628,-548.838562,546,5.596655369,1020.487488,158.2391968,284.5,-605.9370117,0.448932439,0.638204776,0.216840329,1.832968878,0.170562106,0.178253547,58.20243835,106.75,-374.6222534,1.305185676,1,12.24160862,1.405909896
South Australian Museum,M4 863,15/12/1934,83.9,-36,136.85,small island,9.385625839,11.63822746,15.5202713,13.17754936,22.54512596,18.69159698,641.6593628,-548.838562,546,5.596655369,1020.487488,158.2391968,284.5,-605.9370117,0.448932439,0.638204776,0.216840329,1.832968878,0.170562106,0.178253547,58.20243835,106.75,-374.6222534,1.305185676,1,12.24160862,1.405909896
South Australian Museum,M4 864,15/12/1934,83.83,-36,136.85,small island,9.385625839,11.63822746,15.5202713,13.17754936,22.54512596,18.69159698,641.6593628,-548.838562,546,5.596655369,1020.487488,158.2391968,284.5,-605.9370117,0.448932439,0.638204776,0.216840329,1.832968878,0.170562106,0.178253547,58.20243835,106.75,-374.6222534,1.305185676,1,12.24160862,1.405909896
South Australian Museum,M4 865,15/12/1934,83.81,-36,136.85,small island,9.385625839,11.63822746,15.5202713,13.17754936,22.54512596,18.69159698,641.6593628,-548.838562,546,5.596655369,1020.487488,158.2391968,284.5,-605.9370117,0.448932439,0.638204776,0.216840329,1.832968878,0.170562106,0.178253547,58.20243835,106.75,-374.6222534,1.305185676,1,12.24160862,1.405909896
South Australian Museum,M4 868,15/12/1934,84.85,-36,136.85,small island,9.385625839,11.63822746,15.5202713,13.17754936,22.54512596,18.69159698,641.6593628,-548.838562,546,5.596655369,1020.487488,158.2391968,284.5,-605.9370117,0.448932439,0.638204776,0.216840329,1.832968878,0.170562106,0.178253547,58.20243835,106.75,-374.6222534,1.305185676,1,12.24160862,1.405909896
